id,新規,,スキル名,テキスト,SP,種類,,キャラ,下位スキル,確定発動,CT,査定,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量2,効果3,効果量3,効果時間,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量1,効果3,効果量1,効果時間,
910991,○,#REF!,とびだせ☆ポッピングシェル,レース中間地点で速度がちょっと上がるさらにダートレースでスキル発動時第3コーナーにいない場合加えて速度がほんのわずかに上がる,200,継承固有,#REF!,ホッコータルマエ,,,500,180,,,,distance_rate>=50&distance_rate<=51&ground_type==2&corner!=3,,,目標速度,0.05,目標速度,0.035,,,3,,,,distance_rate>=50&distance_rate<=51,,,目標速度,0.05,,,,,3,910991|とびだせ☆ポッピングシェル
920371,○,#REF!,潮風のGeschenk,中距離レースの最終コーナーで中団にいるとわずかに前に出る,200,継承固有,#REF!,エイシンフラッシュ,,,500,180,,,,is_finalcorner==1&corner!=0&order_rate<=80&order_rate>=40&distance_type==3,4～7位,5～10位,現在速度,0.15,,,,,3,,,,,,,,,,,,,,920371|潮風のGeschenk
101902121,○,#REF!,たぎってきたぁ～～っ！！,レース中盤に追い抜くとしばらくの間速度が上がる＜ダート＞,,進化,#REF!,アグネスデジタル,アガッてきた！,,30,633,,,,ground_type==2&phase==1&change_order_onetime<0,,,目標速度,0.35,,,,,4,,,,,,,,,,,,,,101902121|たぎってきたぁ～～っ！！
103703111,○,#REF!,Ritter von Fuchu,東京レース場が得意になりスピードとスタミナと賢さがすごく上昇する,,進化,#REF!,エイシンフラッシュ,府中の申し子,○,,508,,,,track_id==10006,,,緑(スタ),80,緑(賢さ),80,緑(スピ),80,-0.0001,,,,,,,,,,,,,,103703111|Ritter von Fuchu
103703211,○,#REF!,閃光の奔流,レース中盤に持久力を使ってしばらくの間速度をすごく上げる東京レース場なら持久力を使わずにわずかに回復する＜作戦・差し＞,,進化,#REF!,エイシンフラッシュ,勇往邁進,,500,633,,,,running_style==3&phase_random==1&track_id==10006,,,目標速度,0.45,回復,0.015,,,4,,,,running_style==3&phase_random==1,,,目標速度,0.45,回復,-0.03,,,4,103703211|閃光の奔流
104602121,○,#REF!,最高峰のステージに！,レース中盤に競り合うと速度がすごく上がる＜ダート＞,,進化,#REF!,スマートファルコン,チャート急上昇！,,500,633,,,,ground_type==2&phase==1&blocked_side_continuetime>=2,,,目標速度,0.45,,,,,2.4,,,,,,,,,,,,,,104602121|最高峰のステージに！
105202121,○,#REF!,勝ちたいんだもん！,レース終盤にコース取りがすごくうまくなり加速力が少し上がる,,進化,#REF!,ハルウララ,注目の踊り子,,500,394,,,,phase_random==2,,,レーン移動,0.045,加速,0.3,,,3,,,,,,,,,,,,,,105202121|勝ちたいんだもん！
109902111,○,#REF!,感謝のふるさとメドレー,レース中盤にスキルを発動すると速度がすごく上がる、その後レース終盤にスキルを発動すると加速力がわずかに上がる＜先行・ダート＞,,進化,#REF!,ホッコータルマエ,コール&レスポンス,,500,758,,,,ground_type==2&running_style==2&phase==1&is_activate_any_skill==1,,,目標速度,0.45,,,,,2.4,,,,is_activate_other_skill_detail==1&phase>=2&is_activate_any_skill==1,,,加速,0.2,,,,,2.4,109902111|感謝のふるさとメドレー
109902211,○,#REF!,突き進め北の海,レース終盤始めの方で加速力が上がる、1800m以上のレースなら終盤始めの方早めに加速力が上がる＜先行・ダート＞,,進化,#REF!,ホッコータルマエ,踏みしめる大地,,500,633,,,,ground_type==2&running_style==2&phase_firstquarter_random==2&course_distance>=1800,,,加速,0.4,,,,,1.8,,,,ground_type==2&running_style==2&phase_firsthalf_random==2&course_distance<1800,,,加速,0.4,,,,,1.8,109902211|突き進め北の海
110001121,○,#REF!,いぶし銀の闘志,追い抜こうとすると速度がすごく上がり持久力をわずかに回復する＜ダート＞,,進化,#REF!,ワンダーアキュート,姉御肌,,500,394,,,,ground_type==2&is_overtake==1&accumulatetime>=5,,,目標速度,0.45,回復,0.015,,,2.4,,,,,,,,,,,,,,110001121|いぶし銀の闘志
10071,,#REF!,波乱注意砲！,レース中間付近で後方にいるとロングスパートをかけて速度をわずかに上げ続ける,,固有,#REF!,ゴールドシップ,,○,500,240,,,,distance_rate>=50&distance_rate<=60&order_rate>50,6位以下,7位以下,目標速度,0.15,,,,,6,,,,,,,,,,,,,,10071|波乱注意砲！
10081,,#REF!,アクセルX,残り200mを切って前の方にいると競り合いに強くなり速度が少し上がる,,固有,#REF!,ウオッカ,,○,500,240,,,,order>=3&order_rate<=50&remain_distance<=200&bashin_diff_infront<=1@order>=3&order_rate<=50&remain_distance<=200&bashin_diff_behind<=1,3～5位,3～6位,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10081|アクセルX
10091,,#REF!,レッドエース,レース後半に前の方で1番になる力をわずかに発揮する,,固有,#REF!,ダイワスカーレット,,○,500,240,,,,distance_rate>=50&order==1&bashin_diff_behind<=1@distance_rate>=50&order==2&is_overtake==1,"1位, 2位","1位, 2位",目標速度,0.15,加速,0.2,,,5,,,,,,,,,,,,,,10091|レッドエース
10111,,#REF!,精神一到,最終直線で後ろの方から追い抜くと末脚を使って速度が少し上がる,,固有,#REF!,グラスワンダー,,○,500,240,,,,is_last_straight==1&change_order_onetime<0&order>=3,3位以下,3位以下,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10111|精神一到
10141,,#REF!,熱血☆アミーゴ,最終直線で余力を持って前にいるとわずかに優位を保ちやすくなる,,固有,#REF!,エルコンドルパサー,,○,500,240,,,,is_last_straight==1&hp_per>=30&order<=2,2位以上,2位以上,目標速度,0.15,加速,0.2,,,5,,,,,,,,,,,,,,10141|熱血☆アミーゴ
10181,,#REF!,エンプレス・プライド,最終コーナーで中団以降から追い抜くと女帝たる走りで速度が少し上がる,,固有,#REF!,エアグルーヴ,,○,500,240,,,,is_finalcorner==1&corner!=0&order>=3&change_order_onetime<0,3位以下,3位以下,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10181|エンプレス・プライド
10241,,#REF!,勝利のキッス☆,最終コーナー以降に前の方で競り合うとわずかに抜け出しやすくなる,,固有,#REF!,マヤノトップガン,,○,500,240,,,,is_finalcorner==1&blocked_side_continuetime>=2&order<=3,3位以上,3位以上,目標速度,0.15,加速,0.2,,,5,,,,,,,,,,,,,,10241|勝利のキッス☆
10271,,#REF!,燃えろ筋肉！,レース終盤のコーナーで中団にいると前の位置につこうとして加速力が少し上がる,,固有,#REF!,メジロライアン,,○,500,240,,,,phase>=2&corner!=0&order_rate>=65&order_rate<=70,6～6位,8～8位,加速,0.3,,,,,4,,,,,,,,,,,,,,10271|燃えろ筋肉！
10321,,#REF!,introduction：My body,レース後半のコーナーで好位置に控えていると持久力を少し回復しさらに少しの間速度をわずかに上げる,,固有,#REF!,アグネスタキオン,,○,500,240,,,,distance_rate>=50&corner!=0&order>=3&order_rate<=40,3～4位,3～5位,回復,0.035,目標速度,0.15,,,4,,,,,,,,,,,,,,10321|introduction：My body
10351,,#REF!,全力Vサインッ！,最終コーナー以降に競り合っていると最終直線で前方にいる時強い気持ちが湧き速度が少し上がる,,固有,#REF!,ウイニングチケット,,○,500,240,is_finalcorner==1&blocked_side_continuetime>=2,,,is_last_straight==1&order<=5,5位以上,5位以上,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10351|全力Vサインッ！
10411,,#REF!,学級委員長+速さ＝バクシン,レース後半に前の方で競り合うとバクシン力（？）を発揮、速度が少し上がる,,固有,#REF!,サクラバクシンオー,,○,500,240,,,,distance_rate>=50&order<=3&blocked_side_continuetime>=2,3位以上,3位以上,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10411|学級委員長+速さ＝バクシン
10451,,#REF!,クリアハート,レース中盤で好位置にいる時に持久力が回復する,,固有,#REF!,スーパークリーク,,○,500,240,,,,phase_random==1&order>=2&order_rate<=40,2～4位,2～5位,回復,0.055,,,,,,,,,,,,,,,,,,,10451|クリアハート
10521,,#REF!,ワクワクよーいドン,最終コーナーで後ろの方にいると近くのウマ娘を見て持久力を少し回復する,,固有,#REF!,ハルウララ,,○,500,240,,,,is_finalcorner==1&corner!=0&order_rate>50&near_count>=1,6位以下,7位以下,回復,0.035,,,,,,,,,,,,,,,,,,,10521|ワクワクよーいドン
10541,,#REF!,ペガサスフルパワー！,レース後半に後方から追い抜いていた場合、残り150mを切ってから前の方にいると少しの間速度が上がる,,固有,#REF!,ビコーペガサス,,○,500,240,order_rate>=45&distance_rate>=50&change_order_onetime<0,4位以下,5位以下,remain_distance<=150&order_rate<=50,5位以上,6位以上,目標速度,0.35,,,,,4,,,,,,,,,,,,,,10541|ペガサスフルパワー！
10561,,#REF!,来てください来てください！,レース終盤に3番手以降で前方が詰まるとお告げの力で少し道を切り開く,,固有,#REF!,マチカネフクキタル,,○,500,240,,,,phase>=2&order>=3&blocked_front==1,3位以下,3位以下,目標速度,0.25,加速,0.1,,,5,,,,,,,,,,,,,,10561|来てください来てください！
10601,,#REF!,アタシもたまには、ね？,レース終盤に3番手で後ろのウマ娘との差が1バ身以内だと闘志に火が付き速度が少し上がる,,固有,#REF!,ナイスネイチャ,,○,500,240,,,,phase>=2&order==3&bashin_diff_behind<=1,3位,3位,目標速度,0.25,,,,,5,,,,,,,,,,,,,,10601|アタシもたまには、ね？
10611,,#REF!,Call me KING,レースを冷静に運ぶことができると残り200mで中団にいるとき実力発揮、速度が上がる,,固有,#REF!,キングヘイロー,,○,500,240,,,,temptation_count==0&remain_distance<=201&remain_distance>=199&order>=4&order_rate<=70,4～6位,4～8位,目標速度,0.35,,,,,5,,,,,,,,,,,,,,10611|Call me KING
10621,,#REF!,レディー、どんっ！,レース中間付近で中団にいるとき気合を入れ直して持久力を少し回復しさらに速度をわずかに上げる,,固有,#REF!,マチカネタンホイザ,,○,500,240,,,,distance_rate>=50&phase==1&order>=3&order_rate<=70,3～6位,3～8位,回復,0.035,目標速度,0.15,,,5,,,,,,,,,,,,,,10621|レディー、どんっ！
10631,,#REF!,打ち、鍛えて,レースを冷静に運ぶことができるとラストスパートの最中に速度をわずかに上げ続ける,,固有,#REF!,イクノディクタス,,○,500,240,,,,is_lastspurt==1&phase==3&temptation_count==0,,,目標速度,0.15,,,,,6,,,,,,,,,,,,,,10631|打ち、鍛えて
10661,,#REF!,エンジン点火！,中盤の半ばに差を付けて先頭だと超長時間速度をちょっと上げ続けるが終盤の終わりにちょっと垂れてしまう,,固有,#REF!,ツインターボ,,○,500,240,,,,distance_rate>=34&distance_rate<=36&order==1&bashin_diff_behind>=1,1位,1位,目標速度,0.05,,,,,13,,,,phase==3&is_activate_other_skill_detail==1,,,現在速度,-0.05,,,,,500,10661|エンジン点火！
100011,,#REF!,シューティングスター,レース終盤に前の方で相手を抜くと勢いに乗って前に出てさらに加速力がちょっと上がる,,固有,#REF!,スペシャルウィーク,,○,500,340,,,,phase>=2&order>=1&order_rate<=50&change_order_onetime<0,1～5位,1～6位,現在速度,0.35,加速,0.1,,,5,,,,,,,,,,,,,,100011|シューティングスター
100021,,#REF!,先頭の景色は譲らない…！,レース後半に差を付けて先頭にいるとさらなる脚を使って、速度を上げる,,固有,#REF!,サイレンススズカ,,○,500,340,,,,distance_rate>=50&order==1&bashin_diff_behind>=1,1位,1位,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100021|先頭の景色は譲らない…！
100031,,#REF!,究極テイオーステップ,レース終盤に前と差が詰まると最終直線で華麗な脚取りを披露し速度がすごく上がる,,固有,#REF!,トウカイテイオー,,○,500,340,phase>=2&order<=3&bashin_diff_infront<=1&is_overtake==1,3位以上,3位以上,is_last_straight==1,,,目標速度,0.45,,,,,5,,,,,,,,,,,,,,100031|究極テイオーステップ
100041,,#REF!,紅焔ギア/LP1211-M,最終コーナー以降で前の方にいるとギアを変えて加速力が上がる,,固有,#REF!,マルゼンスキー,,○,500,340,,,,is_finalcorner==1&order<=5&order_rate<=50,5位以上,5位以上,加速,0.4,,,,,4,,,,,,,,,,,,,,100041|紅焔ギア/LP1211-M
100051,,#REF!,煌星のヴォードヴィル,終盤に前の方で少し抜け出ていると残り300ｍを切ってから輝きを増し速度がすごく上がる,,固有,#REF!,フジキセキ,,○,500,340,phase>=2&order_rate<=40&behind_near_lane_time_set1>=1,4位以上,5位以上,remain_distance<=300,,,目標速度,0.45,,,,,5,,,,,,,,,,,,,,100051|煌星のヴォードヴィル
100061,,#REF!,勝利の鼓動,残り200m地点で前の方にいると道を開いて速度がすごく上がる,,固有,#REF!,オグリキャップ,,○,500,340,,,,order>=2&order<=5&order_rate<=50&remain_distance<=201&remain_distance>=199,2～5位,2～5位,目標速度,0.45,,,,,5,,,,,,,,,,,,,,100061|勝利の鼓動
100071,,#REF!,不沈艦、抜錨ォッ！,レース中間付近で後方にいるとロングスパートをかけて速度を少し上げ続ける,,固有,#REF!,ゴールドシップ,,○,500,340,,,,distance_rate>=50&distance_rate<=60&order_rate>50,6位以下,7位以下,目標速度,0.25,,,,,6,,,,,,,,,,,,,,100071|不沈艦、抜錨ォッ！
100081,,#REF!,カッティング×DRIVE！,残り200mを切って前の方にいると競り合いに強くなり速度が上がる,,固有,#REF!,ウオッカ,,○,500,340,,,,order>=3&order_rate<=50&remain_distance<=200&bashin_diff_infront<=1@order>=3&order_rate<=50&remain_distance<=200&bashin_diff_behind<=1,3～5位,3～6位,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100081|カッティング×DRIVE！
100091,,#REF!,ブリリアント・レッドエース,レース後半に前の方で1番になる力を発揮する,,固有,#REF!,ダイワスカーレット,,○,500,340,,,,distance_rate>=50&order==1&bashin_diff_behind<=1@distance_rate>=50&order==2&is_overtake==1,"1位, 2位","1位, 2位",目標速度,0.25,加速,0.3,,,5,,,,,,,,,,,,,,100091|ブリリアント・レッドエース
100101,,#REF!,ヴィクトリーショット！,最終コーナー後半で好位置にいると弾みを付けて加速力を上げ続ける,,固有,#REF!,タイキシャトル,,○,500,340,,,,is_finalcorner_laterhalf==1&corner!=0&order>=3&order_rate<=40,3～4位,3～5位,加速,0.4,,,,,5,,,,,,,,,,,,,,100101|ヴィクトリーショット！
100111,,#REF!,精神一到何事か成らざらん,最終直線で後ろの方から追い抜くと末脚を使って速度が上がる,,固有,#REF!,グラスワンダー,,○,500,340,,,,is_last_straight==1&change_order_onetime<0&order>=3,3位以下,3位以下,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100111|精神一到何事か成らざらん
100121,,#REF!,タイマン！デッドヒート！,最終コーナー以降に後ろの方から外を回って追い抜いていると最終直線で速度を上げる,,固有,#REF!,ヒシアマゾン,,○,500,340,is_finalcorner==1&is_behind_in==1&change_order_onetime<0&order_rate>=40,4位以下,5位以下,is_last_straight==1,,,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100121|タイマン！デッドヒート！
100131,,#REF!,貴顕の使命を果たすべく,最終コーナーで前の方にいると抜かせない覚悟を決めて速度が上がる長距離で余力十分ならすごく上がる,,固有,#REF!,メジロマックイーン,,○,500,340,,,,is_finalcorner==1&corner!=0&distance_diff_rate<=30&distance_type==4&lastspurt==2,,,目標速度,0.45,,,,,5,,,,is_finalcorner==1&corner!=0&distance_diff_rate<=30,,,目標速度,0.35,,,,,5,100131|貴顕の使命を果たすべく
100141,,#REF!,プランチャ☆ガナドール,最終直線で余力を持って前にいるとより優位を保ちやすくなる,,固有,#REF!,エルコンドルパサー,,○,500,340,,,,is_last_straight==1&hp_per>=30&order<=2,2位以上,2位以上,目標速度,0.25,加速,0.3,,,5,,,,,,,,,,,,,,100141|プランチャ☆ガナドール
100151,,#REF!,ヴィットーリアに捧ぐ舞踏,最終コーナー以降に前の方で前または後ろのウマ娘と距離が近いと王たる輝きで速度が上がる,,固有,#REF!,テイエムオペラオー,,○,500,340,,,,is_finalcorner==1&bashin_diff_behind<=1&order<=4@is_finalcorner==1&bashin_diff_infront<=1&order<=4,4位以上,4位以上,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100151|ヴィットーリアに捧ぐ舞踏
100161,,#REF!,Shadow Break,最終コーナー以降に中団で外から追い抜くと怪物的な力で速度を上げる中盤競り合っていた場合はすごく上げる,,固有,#REF!,ナリタブライアン,,○,500,340,phase==1&blocked_side_continuetime>=2,,,is_finalcorner==1&order>=2&order_rate<=75&is_behind_in==1&change_order_onetime<0,2～7位,2～9位,目標速度,0.45,,,,,5,,,,is_finalcorner==1&order>=2&order_rate<=75&is_behind_in==1&change_order_onetime<0,2～7位,2～9位,目標速度,0.35,,,,,5,100161|Shadow Break
100171,,#REF!,汝、皇帝の神威を見よ,レース終盤に3回追い抜くと最終直線で速度がすごく上がる,,固有,#REF!,シンボリルドルフ,,○,500,340,,,,is_last_straight==1&change_order_up_end_after>=3,,,目標速度,0.45,,,,,5,,,,,,,,,,,,,,100171|汝、皇帝の神威を見よ
100181,,#REF!,ブレイズ・オブ・プライド,最終コーナーで中団以降から追い抜くと女帝たる走りで速度が上がる,,固有,#REF!,エアグルーヴ,,○,500,340,,,,is_finalcorner==1&corner!=0&order>=3&change_order_onetime<0,3位以下,3位以下,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100181|ブレイズ・オブ・プライド
100191,,#REF!,尊み☆ﾗｽﾄｽﾊﾟ—(ﾟ∀ﾟ)—ﾄ!,レース終盤に2回追い抜くと間近で拝むウマ娘ちゃんのあまりの尊さに思わず速度を上げてコース取りがうまくなる,,固有,#REF!,アグネスデジタル,,○,500,340,,,,change_order_up_end_after>=2,,,目標速度,0.35,レーン移動,0.035,,,5,,,,,,,,,,,,,,100191|尊み☆ﾗｽﾄｽﾊﾟ—(ﾟ∀ﾟ)—ﾄ!
100201,,#REF!,アングリング×スキーミング,レース終盤のコーナーで先頭にいるとこれ幸いと加速力を上げる,,固有,#REF!,セイウンスカイ,,○,500,340,,,,phase>=2&corner!=0&order==1,1位,1位,加速,0.4,,,,,4,,,,,,,,,,,,,,100201|アングリング×スキーミング
100211,,#REF!,白い稲妻、見せたるで！,レース後半の直線で好位置にいるまたは中団から前を狙うと稲妻の如く駆けて行く,,固有,#REF!,タマモクロス,,○,500,340,,,,distance_rate>=50&corner==0&order_rate>=70&order_rate<=75&is_overtake==1@distance_rate>=50&corner==0&order_rate<=30&order_rate>=20,"6～7位, 2～3位","8～9位, 2～4位",目標速度,0.35,加速,0.1,,,5,,,,,,,,,,,,,,100211|白い稲妻、見せたるで！
100221,,#REF!,Fairy tale,レース後半に好位置で競り合うと走ることに心を躍らせて速度を上げる,,固有,#REF!,ファインモーション,,○,500,340,,,,distance_rate>=50&order>=2&order_rate<=40&blocked_side_continuetime>=2,2～4位,2～5位,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100221|Fairy tale
100231,,#REF!,∴win Q.E.D.,終盤の最終コーナー以降で前の方だと速度が上がる、冷静さを保っていたなら勝利の方程式を導きすごく上がる,,固有,#REF!,ビワハヤヒデ,,○,500,340,,,,phase>=2&is_finalcorner==1&order<=4&temptation_count==0,4位以上,4位以上,目標速度,0.45,,,,,5,,,,phase>=2&is_finalcorner==1&order<=4,4位以上,4位以上,目標速度,0.35,,,,,5,100231|∴win Q.E.D.
100241,,#REF!,ひらめき☆ランディング,最終コーナー以降に前の方で競り合うと抜け出しやすくなる,,固有,#REF!,マヤノトップガン,,○,500,340,,,,is_finalcorner==1&blocked_side_continuetime>=2&order<=3,3位以上,3位以上,目標速度,0.25,加速,0.3,,,5,,,,,,,,,,,,,,100241|ひらめき☆ランディング
100251,,#REF!,アナタヲ・オイカケテ,レース後半に中団から『お友達』を追って速度を少しずつ上げ前方のウマ娘をちょっと萎縮させる,,固有,#REF!,マンハッタンカフェ,,○,500,340,,,,distance_rate>=50&order_rate>=40&order_rate<=70,4～6位,5～8位,目標速度,0.25,現在速度,0.05,,,6,,,,,,,,,,,,,,100251|アナタヲ・オイカケテ
100261,,#REF!,G00 1st.F∞;,出遅れずに最終直線で前の方にいると速度が上がる、前方の順位をキープしていた場合はすごく上がる,,固有,#REF!,ミホノブルボン,,○,500,340,,,,is_badstart==0&order<=3&is_last_straight==1&order_rate_in20_continue==1,"3位以上, 2位以上維持","3位以上, 2位以上維持",目標速度,0.45,,,,,5,,,,is_badstart==0&order<=3&is_last_straight==1,3位以上,3位以上,目標速度,0.35,,,,,5,100261|G00 1st.F∞;
100271,,#REF!,レッツ・アナボリック！,レース終盤のコーナーで中団にいると前の位置につこうとして加速力が上がる,,固有,#REF!,メジロライアン,,○,500,340,,,,phase>=2&corner!=0&order_rate>=65&order_rate<=70,6～6位,8～8位,加速,0.4,,,,,4,,,,,,,,,,,,,,100271|レッツ・アナボリック！
100281,,#REF!,I'M☆FULL☆SPEED!!,レース中間に好位置で追い抜こうとすると速度が少し上がる短距離レースでは効果が変わり少し前に出る,,固有,#REF!,ヒシアケボノ,,○,500,340,,,,distance_rate>=45&distance_rate<=60&order>=2&order_rate<=50&is_overtake==1&distance_type==1,2～5位,2～6位,現在速度,0.25,,,,,5,,,,distance_rate>=45&distance_rate<=60&order>=2&order_rate<=50&is_overtake==1,2～5位,2～6位,目標速度,0.25,,,,,5,100281|I'M☆FULL☆SPEED!!
100291,,#REF!,ゆきあかり、おいかけて,残り300mを切って先頭もしくは前の方で先頭のウマ娘との距離が近いと速度を上げる,,固有,#REF!,ユキノビジン,,○,500,340,,,,distance_diff_top<=5&remain_distance<=300&order_rate<=40,4位以上,5位以上,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100291|ゆきあかり、おいかけて
100301,,#REF!,ブルーローズチェイサー,レース終盤に追い抜いて先団につけると最終直線で強い意志を持って速度が上がる,,固有,#REF!,ライスシャワー,,○,500,340,phase>=2&order<=4&change_order_onetime<0,4位以上,4位以上,is_last_straight==1,,,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100301|ブルーローズチェイサー
100311,,#REF!,チャージ完了！全速前進！,残り300m付近で前の方だと速度を少し上げる、ちょうど坂を上りきったところだった場合はすごく上げる,,固有,#REF!,アイネスフウジン,,○,500,340,remain_distance<=305&remain_distance>=300&slope==1,,,remain_distance<=299&remain_distance>=295&order<=2&slope==0@remain_distance<=299&remain_distance>=295&order<=2&slope==2,2位以上,2位以上,目標速度,0.45,,,,,5,,,,remain_distance<=299&remain_distance>=295&order<=2,2位以上,2位以上,目標速度,0.25,,,,,5,100311|チャージ完了！全速前進！
100321,,#REF!,U=ma2,レース後半のコーナーで好位置に控えていると持久力を回復しさらに少しの間速度を少し上げる,,固有,#REF!,アグネスタキオン,,○,500,340,,,,distance_rate>=50&corner!=0&order>=3&order_rate<=40,3～4位,3～5位,回復,0.055,目標速度,0.25,,,4,,,,,,,,,,,,,,100321|U=ma2
100331,,#REF!,ディオスクロイの流星,最終直線で先頭から離されていると星に導かれるように速度が上がる最後方付近にいる場合はすごく上がる,,固有,#REF!,アドマイヤベガ,,○,500,340,,,,is_last_straight==1&distance_diff_top>=5&order_rate<80,6位以上,9位以上,目標速度,0.35,,,,,5,,,,is_last_straight==1&distance_diff_top>=5&order_rate>=80,7位以下,10位以下,目標速度,0.45,,,,,5,100331|ディオスクロイの流星
100341,,#REF!,快走かな、快走かな！,レース前半中団以降に控え続けており追い比べをしていると江戸っ子の底力を見せつけて速度をすごく上げる,,固有,#REF!,イナリワン,,○,500,340,distance_rate>=50&order_rate_out40_continue==1,4位以下維持,5位以下維持,compete_fight_count>0,,,目標速度,0.45,,,,,5,,,,,,,,,,,,,,100341|快走かな、快走かな！
100351,,#REF!,勝利のチケットを、君にッ！,最終コーナー以降に競り合っていると最終直線で前方にいる時強い気持ちが湧き速度が上がる,,固有,#REF!,ウイニングチケット,,○,500,340,is_finalcorner==1&blocked_side_continuetime>=2,,,is_last_straight==1&order<=5,5位以上,5位以上,目標速度,0.35,,,,,5,,,,,,,,,,,,,,100351|勝利のチケットを、君にッ！
100361,,#REF!,trigger:BEAT,最終コーナー以降に中団の内ラチ側にいると勝利への道筋を見出して最終直線で速度が上がりコース取りがうまくなる,,固有,#REF!,エアシャカール,,○,500,340,is_finalcorner==1&order_rate>=40&order_rate<=75&lane_type==0,4～7位,5～9位,is_last_straight==1,,,目標速度,0.35,レーン移動,0.035,,,5,,,,,,,,,,,,,,100361|trigger:BEAT
